Iteration,SMOTE,Model,Metric,Score,Rank
4,True,XGBoost,accuracy,0.8671604938271605,90.0
4,False,Decision Tree,accuracy,0.8671604938271605,90.0
0,True,XGBoost,accuracy,0.8669135802469136,92.0
4,False,MLP Classifier,accuracy,0.8669135802469136,92.0
0,True,Gradient Boosting,accuracy,0.8666666666666667,94.0
0,True,Stochastic Gradient Descent,accuracy,0.8666666666666667,94.0
0,True,Random Forest,accuracy,0.8661728395061729,96.0
4,True,Support Vector Machine,accuracy,0.8661728395061729,96.0
0,True,K-Nearest Neighbors,accuracy,0.8659259259259259,98.0
0,True,Gaussian Naive Bayes,accuracy,0.8659259259259259,98.0
0,False,Gaussian Naive Bayes,accuracy,0.8659259259259259,98.0
0,False,Gradient Boosting,accuracy,0.8651851851851852,101.0
0,False,AdaBoost,accuracy,0.8651851851851852,101.0
0,False,MLP Classifier,accuracy,0.8651851851851852,101.0
0,True,Logistic Regression,accuracy,0.8644444444444445,104.0
0,False,Decision Tree,accuracy,0.8644444444444445,104.0
0,True,AdaBoost,accuracy,0.8641975308641975,106.0
0,False,XGBoost,accuracy,0.8639506172839506,107.0
0,False,Random Forest,accuracy,0.8634567901234568,108.0
0,True,Support Vector Machine,accuracy,0.8624691358024691,109.0
0,False,Logistic Regression,accuracy,0.8614814814814815,110.0
3,False,Decision Tree,f1_macro,0.6676204286534786,1.0
3,False,Gradient Boosting,f1_macro,0.6672923448613315,2.0
1,False,K-Nearest Neighbors,f1_macro,0.6664649610566404,3.0
1,True,MLP Classifier,f1_macro,0.6664258570027572,4.0
1,True,Support Vector Machine,f1_macro,0.6657168847075111,5.0
1,False,XGBoost,f1_macro,0.665695366055939,6.0
1,True,Decision Tree,f1_macro,0.6656825770226394,7.0
3,False,Gaussian Naive Bayes,f1_macro,0.6654189015270705,8.0
1,False,Stochastic Gradient Descent,f1_macro,0.6653273989419777,9.0
1,True,K-Nearest Neighbors,f1_macro,0.6652840072279582,10.0
1,True,Stochastic Gradient Descent,f1_macro,0.6652207481301023,11.0
3,True,Gaussian Naive Bayes,f1_macro,0.6650589352255334,12.0
1,False,AdaBoost,f1_macro,0.6650384402201992,13.0
1,True,Random Forest,f1_macro,0.66491524786662,14.0
1,True,AdaBoost,f1_macro,0.6648634168198351,15.0
1,False,Decision Tree,f1_macro,0.6647544967372101,16.0
3,False,Support Vector Machine,f1_macro,0.6646749600827007,17.0
3,True,MLP Classifier,f1_macro,0.664617198058601,18.0
1,True,XGBoost,f1_macro,0.6646019467608137,19.0
1,True,Gradient Boosting,f1_macro,0.6645783178891642,20.0
1,False,Gradient Boosting,f1_macro,0.6645691541862637,21.0
1,True,Logistic Regression,f1_macro,0.664557287147702,22.0
1,False,Random Forest,f1_macro,0.6643960845354768,23.0
4,True,XGBoost,f1_macro,0.6643929011334697,24.0
3,False,AdaBoost,f1_macro,0.6643806805978462,25.0
2,False,Gaussian Naive Bayes,f1_macro,0.6643471985137879,26.0
