num_envs,avg_training_time,avg_cpu_utilization,return_code
10,108.75513350963593,49.83,0
11,106.25284218788147,12.193333333333335,0
12,111.39158737659454,9.073333333333332,0
13,109.64240348339081,8.806666666666667,0
14,115.01666057109833,8.36,0
15,109.6894223690033,8.786666666666665,0
16,96.08862924575806,9.093333333333334,0
17,97.97165477275848,9.330000000000002,0
18,97.31619727611542,9.373333333333333,0
19,101.92172431945801,8.966666666666667,0
20,101.13922083377838,10.186666666666667,0
21,105.6263256072998,10.486666666666666,0
22,98.94991517066956,10.603333333333332,0
23,95.69016742706299,10.766666666666666,0
24,95.72880792617798,20.983333333333334,0
25,106.39149105548859,43.34,0
26,105.56741857528687,45.623333333333335,0
27,98.21562552452087,40.19,0
28,94.61040806770325,40.75999999999999,0
29,97.78068947792053,45.156666666666666,0
30,100.12057363986969,40.82666666666667,0
31,109.47975325584412,43.010000000000005,0
32,100.11441898345947,40.56,0
33,101.50690793991089,42.03666666666667,0
34,102.82204222679138,41.126666666666665,0
35,104.12234401702881,44.73333333333333,0
36,105.37509059906006,33.57333333333334,0
37,109.77462720870972,27.949999999999996,0
38,100.91618001461029,25.800000000000004,0
39,98.85588228702545,25.74,0
40,103.55353236198425,28.560000000000002,0
41,98.81690406799316,27.310000000000002,0
42,112.91174817085266,29.00666666666667,0
43,100.45938742160797,30.09333333333333,0
44,101.4929552078247,31.06333333333334,0
45,102.81120443344116,29.886666666666663,0
46,100.21478152275085,30.830000000000005,0
47,102.46435463428497,33.69,0
48,105.61495697498322,31.563333333333336,0
49,119.97904622554779,31.260000000000005,0
