Category1,Category2,Category3,Category4,Category5,Category6,Category7,Mean_g_per_day,StandardDeviation,Coefficient of Variation,Cost_100g,Calories_kcal_per_100g,Fat_g,Saturates_g,Carbs_g,Sugars_g,Fibre_g,Protein_g,Salt_g,CO2_g_per_100g,Animal Welfare Rating,Rainforest Rating,Water Scarcity Rating,CO2 FU Rating,Group A veg,Group A fruit,Group B,Oily Fish,Red Meat,Group C,Group D,Group E,Oil,Bread,Confectionary
Fruit and fruit products,Fruit used as fruit,Stone fruits,Cherries and similar-,Cherries and similar-,Cherries and similar-,Cherries and similar-,0.150897614,1.415072844,9.377701904,1.25,52,0.1,0.1,11.5,11.5,0.9,0.9,0.01,58.498,A,A,C,B,0,1,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Root and tuber vegetables (excluding starchy- and sugar-),Beetroots and similar-,Beetroots,Beetroots,Beetroots,Beetroots,0.161742589,1.515584599,9.370349549,0.4,40,0.5,0.1,7.2,6.7,1.9,1.7,0.17,36.703,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Fruit and fruit products,Fruit used as fruit,Stone fruits,Peaches and similar-,Nectarines,Nectarines,Nectarines,0.569193704,5.285573595,9.286071784,0.065,45,0.5,0,9,9,1.2,1.4,0,28.998,A,A,C,A,0,1,0,0,0,0,0,0,0,0,0
Animal and vegetable fats and oils and primary derivatives thereof,Animal and vegetable fats/oils,"Vegetable fats and oils, edible",Seed oils,"Rape seed oil, edible","Rape seed oil, edible","Rape seed oil, edible",0.011130572,0.102831914,9.238691007,0.82,832,92.4,10.4,0,0,0,0,0,199.704,A,A,A,A,0,0,0,0,0,0,0,0,1,0,0
"Sugar and similar, confectionery and water-based sweet desserts",Confectionery including chocolate,Chocolate and chocolate products,Chocolate and similar,Bitter chocolate,Bitter chocolate,Bitter chocolate,0.131503171,1.169036864,8.889799819,0.065,543,34,20.9,47.4,42.9,9.5,7.2,0.01,248.375,A,A,A,A,0,0,0,0,0,0,0,0,0,0,1
Vegetables and vegetable products,Leafy vegetables,Head brassica,Head cabbages and similar-,Savoy cabbages,Savoy cabbages,Savoy cabbages,0.268157063,2.304715583,8.594648079,0.12,32,0.5,0.1,3.9,3.9,2.7,2.4,0.02,29.885,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Root and tuber vegetables (excluding starchy- and sugar-),Turnips and similar-,Turnips,Turnips,Turnips,Turnips,0.231099744,1.964171173,8.499235593,0.21,29,0.5,0.1,4.5,4.3,2.4,0.9,0.04,29.703,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Herbs and edible flowers,Aromatic herbs,Basils and mints,Basil,Basil,Basil,0.013183642,0.104312648,7.912278817,1,32,0.6,0,2.7,0.5,0,3.2,0,27.184,A,A,A,A,0,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Leafy vegetables,Head brassica,Brussels sprouts and similar-,Brussels sprouts,Brussels sprouts,Brussels sprouts,0.317892181,2.424485469,7.626754023,0.7,178,1.3,0.3,3.5,3,2.6,2.9,0.05,56.885,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Fruit and fruit products,Fruit used as fruit,Berries and small fruits,Blueberries and similar-,Blueberries,Blueberries,Blueberries,0.30740709,2.328592565,7.574947484,0.9,43,0.5,0.1,8.7,8.7,1.5,0.9,0.01,46.192,A,A,A,B,0,1,0,0,0,0,0,0,0,0,0
"Sugar and similar, confectionery and water-based sweet desserts",Confectionery including chocolate,Chocolate and chocolate products,Chocolate and similar,White chocolate,White chocolate,White chocolate,0.299919822,2.137872853,7.128147916,1.011,540,30,18,64,0,0,4.1,0.25,448.375,E,A,A,B,0,0,0,0,0,0,0,0,0,0,1
Vegetables and vegetable products,Herbs and edible flowers,Aromatic herbs,Celery leaves and similar-,Coriander leaves,Coriander leaves,Corianders,0.019110071,0.135305405,7.080319236,0.8,33,0.5,0.1,3.7,0.9,2.8,2.1,0.12,63.956,A,A,C,A,0,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Bulb vegetables,Spring onions and similar-,Spring onions,Spring onions,Spring onions,Spring onions,0.090382174,0.637401416,7.05229129,0.295,27,0.5,0.1,2.9,2.7,1.5,2,0.02,37.192,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Fruiting vegetables,Solanacea,Peppers and similar-,Chili peppers,Chili peppers,Chili peppers,0.067662947,0.467305175,6.906367486,0.325,30,0.5,0.1,4.2,4,1.5,1.8,0.03,239.96,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Vegetables and vegetable products,Leafy vegetables,Spinach-type leaves,Spinaches and similar-,Spinaches,Spinaches,Spinaches,0.442540496,2.776999952,6.275131836,0.577,19,0.6,0.1,0.5,0.5,1.2,2.6,0.08,42.636,A,A,A,A,1,0,0,0,0,0,0,0,0,0,0
Grains and grain-based products,Cereals and cereal primary derivatives,Cereal grains (and cereal-like grains),Rice and similar-,Rice grain,Rice grain,Rice grain,1.379698606,7.906056862,5.730278214,0.125,161,1.4,0.4,34,0.5,0.5,2.9,0.01,303.375,A,A,A,B,0,0,0,0,0,0,1,0,0,0,0
Meat and meat products,Sausages,Preserved or partly preserved sausages,Pre-cooked sausages to be cooked before consumption,Frankfurt-type sausage,Frankfurter sausage,Frankfurter sausage,0.854776825,4.127497584,4.828742971,0.74,256,22,8.4,2.6,0.5,0,12,2.1,793.192,E,E,A,B,0,0,0,0,1,1,0,0,0,0,0
"Sugar and similar, confectionery and water-based sweet desserts",Sugar and other sweetening ingredients (excluding intensive sweeteners),Honey,Honey,Honey,Honey,Honey,0.3979518,1.87121042,4.702103173,0.32,329,0.5,0.2,81.5,80.8,0.5,0.5,0.03,93.027,E,A,A,A,0,0,0,0,0,0,0,0,0,0,0
Grains and grain-based products,Cereals and cereal primary derivatives,Cereal and cereal-like flours,Wheat flour,Wheat flour white,Wheat flour white,Wheat flour white,1.264267275,4.566091865,3.611650761,0.087,344,1.3,0.3,68.2,1.4,3,13.4,0.01,78.345,A,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Grains and grain-based products,"Pasta, doughs and similar products",Pasta and similar products,Pasta-like products,"Noodle, rice","Noodle, rice",Noodles,7.250314485,26.08625445,3.597947993,0.46,134,0.5,0.1,28.9,0.5,1.9,2.4,0.01,148.375,E,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Animal and vegetable fats and oils and primary derivatives thereof,Animal and vegetable fats/oils,"Vegetable fats and oils, edible",Olive oils,Olive oils,Olive oils,Olive oil,0.322661434,1.044253336,3.236374803,0.78,900,100,14.3,0,0,0,0,0.01,441.144,A,A,D,A,0,0,0,0,0,0,0,0,1,0,0
"Fish, seafood, amphibians, reptiles and invertebrates",Fish (meat),Marine fish,"Tunas, bonitos, billfishes",Tuna and bonito (generic),Tuna,Tuna,3.053063372,9.008809942,2.950744497,1.23,99,0.5,0.1,0,0,0.1,23.5,0.85,581.787,E,A,A,C,0,0,1,1,0,0,0,0,0,0,0
"Starchy roots or tubers and products thereof, sugar plants",Starchy roots and tubers,Potatoes and similar-,Potatoes,New potatoes,New potatoes,New potatoes,7.618882924,18.22665818,2.392300598,0.3,66,0.5,0.1,13.6,1.1,1.8,1.8,0.01,36.432,A,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Grains and grain-based products,Cereals and cereal primary derivatives,Cereal grains (and cereal-like grains),Rice and similar-,Rice grain,"Rice grain, long-grain","Rice grain, long-grain",12.76371322,28.58946201,2.239901628,0.125,161,1.4,0.4,34,0.5,0.5,2.9,0.01,303.375,A,A,A,B,0,0,0,0,0,0,1,0,0,0,0
