,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_clip_obs,params_ent_coef,params_gae_lambda,params_gamma,params_initialization_strategy,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_max_ingredients,params_n_steps,params_net_arch_depth,params_net_arch_width,params_norm_reward,params_normalize_advantage,params_ortho_init,params_rms_prop_eps,params_sde_sample_freq,params_use_rms_prop,params_use_sde,params_vf_coef,state
76,76,3.3,2024-07-01 13:22:49.307482,2024-07-01 13:43:16.349427,0 days 00:20:27.041945,leaky_relu,50.0,0.03470055270209542,1.0,0.9984644623483568,,0.00525945506472229,linear,2.0,8,5.0,3.0,128.0,False,True,False,0.00010316471344084178,16.0,True,False,0.3516581810371747,COMPLETE
77,77,7.298819999999999,2024-07-01 13:36:27.869824,2024-07-01 13:52:15.106077,0 days 00:15:47.236253,relu,100.0,0.0013216720921932585,0.98,0.9520342886158131,,0.548802890093007,constant,0.9,8,50.0,2.0,256.0,False,False,True,0.00892951742518434,5.0,True,True,0.241118158478618,COMPLETE
78,78,270.384906,2024-07-01 13:40:22.495824,2024-07-01 13:55:26.104885,0 days 00:15:03.609061,relu,100.0,2.5528442681389013e-05,0.99,0.9457080280103359,,0.08640676122760158,constant,1.0,8,200.0,2.0,128.0,False,False,True,0.04913292885330484,27.0,True,True,0.15025813206196936,COMPLETE
79,79,122.387563,2024-07-01 13:43:16.406840,2024-07-01 13:59:40.416094,0 days 00:16:24.009254,relu,100.0,0.007675202815663767,0.92,0.9720402511635876,,0.1323892228477788,constant,1.0,6,200.0,3.0,256.0,False,False,True,0.09174783363627675,10.0,True,True,0.29734298420256206,COMPLETE
80,80,270.384906,2024-07-01 13:52:15.165257,2024-07-01 14:08:48.614964,0 days 00:16:33.449707,leaky_relu,5.0,0.00019997373477713878,0.98,0.9667148696937586,,0.0037555230133205675,linear,0.3,6,20.0,1.0,256.0,False,False,False,0.00020923108392018112,66.0,True,True,0.24375183710852785,COMPLETE
81,81,269.71220139999997,2024-07-01 13:55:26.156422,2024-07-01 14:14:22.355607,0 days 00:18:56.199185,tanh,50.0,0.00017097046592728227,0.92,0.9296996556101281,,0.004195143332624525,linear,5.0,6,20.0,2.0,256.0,False,False,False,4.601623241984705e-05,57.0,True,True,0.3053278944670254,COMPLETE
82,82,229.64904699999997,2024-07-01 13:59:40.464840,2024-07-01 14:13:21.517353,0 days 00:13:41.052513,elu,5.0,0.0034576920842187223,0.98,0.9980293490294055,,0.014426711198892066,constant,0.7,8,50.0,1.0,128.0,False,True,False,0.01841073343085938,19.0,True,False,0.5992168849998979,COMPLETE
83,83,4.5,2024-07-01 14:08:48.663615,2024-07-01 14:25:10.525594,0 days 00:16:21.861979,leaky_relu,100.0,0.031924437262230584,0.99,0.9916991096151183,,0.13027837162120268,linear,2.0,8,20.0,2.0,512.0,False,True,False,0.012908636651432171,31.0,True,False,0.1673441457855152,COMPLETE
84,84,6.3,2024-07-01 14:13:21.566854,2024-07-01 14:27:44.637662,0 days 00:14:23.070808,leaky_relu,10.0,0.018664157314477993,0.98,0.977962580119779,,0.03028412275610244,linear,2.0,8,200.0,2.0,512.0,False,True,False,0.0006595811966942198,26.0,False,False,0.3657815846904353,COMPLETE
85,85,270.384906,2024-07-01 14:14:22.409923,2024-07-01 14:31:26.024220,0 days 00:17:03.614297,leaky_relu,50.0,0.0005038443903129419,0.8,0.9629188341153757,,0.011529052871999424,linear,0.5,6,20.0,1.0,256.0,False,False,False,0.00229084130207098,60.0,True,True,0.706095700199687,COMPLETE
86,86,5.0,2024-07-01 14:25:10.571010,2024-07-01 14:38:09.816388,0 days 00:12:59.245378,tanh,50.0,0.00123870715381125,0.98,0.9238616399146604,,0.06989761596333954,linear,0.5,6,100.0,1.0,256.0,False,False,True,0.0002456967357863919,90.0,True,False,0.5764337182653779,COMPLETE
87,87,8.3024336,2024-07-01 14:27:44.705361,2024-07-01 14:43:39.641153,0 days 00:15:54.935792,tanh,100.0,0.022673667447108827,0.98,0.9655381625781075,,5.6842998681092144e-05,constant,5.0,6,20.0,1.0,16.0,False,False,False,0.00076422178754756,71.0,True,True,0.7056807344643597,COMPLETE
88,88,175.1724872,2024-07-01 14:31:26.080575,2024-07-01 14:47:15.842287,0 days 00:15:49.761712,tanh,100.0,4.920832839703983e-05,0.98,0.9748695166582645,,0.00015595099166010407,constant,0.9,6,20.0,1.0,256.0,False,False,False,3.929161132566904e-05,87.0,True,True,0.962441229082339,COMPLETE
89,89,270.384906,2024-07-01 14:38:09.873098,2024-07-01 14:54:29.394103,0 days 00:16:19.521005,tanh,100.0,0.0010374117889229905,0.99,0.9694659872613898,,0.005412767598496468,constant,2.0,6,100.0,2.0,256.0,False,False,False,0.0005604353743940593,67.0,False,True,0.5165253756133374,COMPLETE
90,90,54.61085519999999,2024-07-01 14:43:39.698696,2024-07-01 15:00:23.470348,0 days 00:16:43.771652,tanh,100.0,0.0009477351024479516,0.9,0.9607576115519865,,0.0008779384836572595,constant,2.0,6,20.0,1.0,256.0,False,False,False,0.005231418279849612,75.0,True,True,0.5650732462901638,COMPLETE
91,91,258.7135534,2024-07-01 14:47:15.890238,2024-07-01 15:00:46.457111,0 days 00:13:30.566873,leaky_relu,10.0,0.004711667188611269,1.0,0.9775774578499651,,0.003000835261236859,linear,2.0,8,100.0,2.0,16.0,False,True,False,0.0017078460374901835,18.0,True,False,0.3878353888343332,COMPLETE
92,92,46.7154904,2024-07-01 14:54:29.446045,2024-07-01 15:11:59.947634,0 days 00:17:30.501589,leaky_relu,10.0,0.03282471562307669,0.9,0.9811790969170431,,0.00949274031097932,linear,2.0,8,100.0,2.0,512.0,False,True,False,0.007668764847062363,7.0,True,True,0.17435784152469205,COMPLETE
93,93,4.2,2024-07-01 15:00:23.522669,2024-07-01 15:15:19.944201,0 days 00:14:56.421532,relu,100.0,2.6472347995947062e-08,0.98,0.9931988841391308,,0.22072750064546004,constant,0.9,8,200.0,2.0,256.0,True,False,True,0.008016053492517062,7.0,True,False,0.40341788551653024,COMPLETE
94,94,5.900337400000001,2024-07-01 15:00:46.522991,2024-07-01 15:15:27.764310,0 days 00:14:41.241319,elu,100.0,7.534902367674884e-07,0.99,0.9885923414168686,,0.021640585675445394,constant,0.9,8,50.0,2.0,8.0,True,False,True,0.0020495638561359624,8.0,True,False,0.16856194513153663,COMPLETE
95,95,199.1254148,2024-07-01 15:12:00.003162,2024-07-01 15:27:34.475555,0 days 00:15:34.472393,relu,5.0,0.04584858642445965,0.98,0.9637994036801358,,0.024209709492103156,linear,2.0,6,20.0,1.0,256.0,True,False,False,0.0005898768174610588,51.0,False,True,0.2532061023843054,COMPLETE
96,96,97.30737880000001,2024-07-01 15:15:19.990259,2024-07-01 15:30:21.526718,0 days 00:15:01.536459,tanh,50.0,0.00023159899698634316,0.98,0.9581564591032345,,0.00032439825124961686,linear,0.7,6,20.0,1.0,256.0,True,False,True,0.00021807484225578927,38.0,True,True,0.38120664824548567,COMPLETE
97,97,8.5,2024-07-01 15:15:27.806884,2024-07-01 15:31:33.981237,0 days 00:16:06.174353,relu,100.0,0.0005238167019471404,0.99,0.9503806543771061,,0.014815688200252666,constant,1.0,8,200.0,3.0,32.0,False,False,True,0.049312424585328515,27.0,False,True,0.08447237090827964,COMPLETE
98,98,8.5,2024-07-01 15:27:34.526368,2024-07-01 15:43:24.861504,0 days 00:15:50.335136,relu,100.0,0.00014753285757224162,1.0,0.9564316647273573,,0.12058648293968961,constant,1.0,8,200.0,1.0,16.0,False,False,True,0.07768250934223073,27.0,True,True,0.3769735691169026,COMPLETE
99,99,273.5874502,2024-07-01 15:30:21.580588,2024-07-01 15:44:35.871691,0 days 00:14:14.291103,tanh,5.0,0.005811257497910089,1.0,0.9870367030451634,,0.005606187887795809,constant,0.9,8,50.0,1.0,128.0,False,True,True,0.042370610422012366,1.0,True,False,0.4074177628488925,COMPLETE
100,100,6.7,2024-07-01 15:31:34.030957,2024-07-01 15:47:17.462850,0 days 00:15:43.431893,relu,50.0,7.977642767412904e-05,0.92,0.9666769199768082,,0.6715972112827678,constant,1.0,8,200.0,1.0,128.0,False,False,True,0.054132921906840534,36.0,True,True,0.23042315667675797,COMPLETE
101,101,7.6,2024-07-01 15:43:24.901031,2024-07-01 16:00:20.350585,0 days 00:16:55.449554,leaky_relu,100.0,1.4707789847699018e-07,0.99,0.9528465519329226,,0.776135296864821,constant,1.0,8,200.0,2.0,128.0,False,False,True,0.06223510018182542,6.0,True,True,0.055343766107235376,COMPLETE
102,102,75.49253739999999,2024-07-01 15:44:35.922179,2024-07-01 16:01:04.327733,0 days 00:16:28.405554,tanh,5.0,0.0025792169959852926,1.0,0.9862704001085999,,2.8801544806233145e-05,constant,0.3,8,10.0,1.0,128.0,False,True,True,0.0042479828546524235,18.0,True,False,0.1621087164729134,COMPLETE
103,103,293.2059448,2024-07-01 15:47:17.508417,2024-07-01 16:01:07.864667,0 days 00:13:50.356250,tanh,5.0,0.02816703145463031,1.0,0.9746866411327911,,0.0020135493534063293,constant,0.9,8,50.0,1.0,128.0,False,True,True,0.01783076566221572,11.0,True,False,0.3318949883298781,COMPLETE
104,104,288.26978360000004,2024-07-01 16:00:20.410741,2024-07-01 16:14:00.291509,0 days 00:13:39.880768,tanh,5.0,0.016949396160507214,1.0,0.9823183173996247,,0.0015371843016379586,constant,5.0,8,50.0,1.0,128.0,False,True,True,0.04782770788803609,13.0,True,False,0.20952822190201845,COMPLETE
105,105,11.0,2024-07-01 16:01:04.379175,2024-07-01 16:15:48.187876,0 days 00:14:43.808701,tanh,100.0,0.04619498779275079,1.0,0.9805586419129471,,0.0005191173708763237,constant,0.9,8,50.0,1.0,64.0,False,True,True,0.010866445375609199,6.0,True,False,0.4300016332625804,COMPLETE
106,106,11.1,2024-07-01 16:01:07.899162,2024-07-01 16:17:25.134288,0 days 00:16:17.235126,tanh,50.0,0.0020867351427694245,1.0,0.9867621156529477,,0.0005338747132292014,constant,0.9,8,50.0,2.0,128.0,False,True,True,0.027163649603136254,21.0,True,False,0.13396419508227414,COMPLETE
107,107,270.2902616,2024-07-01 16:14:00.334570,2024-07-01 16:31:13.895450,0 days 00:17:13.560880,tanh,5.0,0.002164718282004779,1.0,0.9653118867640511,,0.0022487879449729397,constant,5.0,8,50.0,1.0,128.0,False,True,True,0.020206654760411134,43.0,True,True,0.28776282591888364,COMPLETE
108,108,243.43053700000002,2024-07-01 16:15:48.244369,2024-07-01 16:30:38.323970,0 days 00:14:50.079601,leaky_relu,5.0,5.432773760077629e-05,1.0,0.9855555931180341,,0.017853759617523463,constant,1.0,8,50.0,1.0,32.0,False,True,True,0.07346119775020025,12.0,True,False,0.027012367125737513,COMPLETE
109,109,242.79002680000002,2024-07-01 16:17:25.198800,2024-07-01 16:32:13.949844,0 days 00:14:48.751044,leaky_relu,5.0,0.009409002760127051,0.95,0.9939981662209698,,0.0028122229624066362,constant,5.0,8,50.0,1.0,128.0,False,True,True,0.03439750223801222,38.0,True,False,0.26506738056657175,COMPLETE
110,110,94.3573568,2024-07-01 16:30:38.380700,2024-07-01 16:44:35.493972,0 days 00:13:57.113272,tanh,5.0,0.018237211603520063,0.92,0.960036916971345,,0.01207398430776676,constant,0.7,8,50.0,1.0,128.0,False,True,True,0.007438642836668971,25.0,True,False,0.32050673907555044,COMPLETE
111,111,10.4,2024-07-01 16:31:13.951049,2024-07-01 16:50:32.834068,0 days 00:19:18.883019,tanh,5.0,0.0028063975892762207,1.0,0.9687908150457077,,0.0008652020546963735,constant,0.9,8,5.0,1.0,128.0,False,True,True,0.012703000715720232,6.0,True,False,0.6883752372698729,COMPLETE
112,112,239.89551220000004,2024-07-01 16:32:14.003246,2024-07-01 16:51:37.204931,0 days 00:19:23.201685,tanh,5.0,0.004387849822229337,1.0,0.9847710774179542,,0.0029907952065207715,constant,0.9,8,5.0,1.0,128.0,True,True,True,0.09086854377738808,9.0,True,False,0.6188055236715096,COMPLETE
113,113,273.2603308,2024-07-01 16:44:35.541346,2024-07-01 16:58:27.954164,0 days 00:13:52.412818,elu,100.0,5.415578143719954e-06,0.8,0.9630547210595167,,0.0011730080574934455,constant,0.9,8,50.0,2.0,8.0,False,False,True,0.06742941123932439,47.0,True,False,0.5737395515288339,COMPLETE
114,114,133.89243760000002,2024-07-01 16:50:32.891918,2024-07-01 17:06:29.460615,0 days 00:15:56.568697,leaky_relu,5.0,0.0025678271316915,0.98,0.9688999726080916,,0.0007506906961602666,linear,2.0,8,20.0,1.0,64.0,True,True,False,0.0008967598482990285,53.0,True,True,0.21006024222454556,COMPLETE
115,115,8.5,2024-07-01 16:51:37.256391,2024-07-01 17:13:58.257006,0 days 00:22:21.000615,leaky_relu,10.0,0.01160543810131811,0.92,0.9974209987126286,,0.0006181969390457254,linear,2.0,8,5.0,2.0,512.0,False,True,False,0.01888946201042766,55.0,True,False,0.44102613708966537,COMPLETE
116,116,256.9889522,2024-07-01 16:58:28.013086,2024-07-01 17:13:09.485582,0 days 00:14:41.472496,elu,100.0,1.7420464966747984e-07,0.9,0.9740390988045613,,0.0043931684378470445,constant,0.9,8,50.0,3.0,8.0,False,False,True,0.06430748723695913,59.0,True,False,0.5504681893139899,COMPLETE
117,117,276.0402118,2024-07-01 17:06:29.505436,2024-07-01 17:21:08.776740,0 days 00:14:39.271304,elu,50.0,0.00018571843965924816,1.0,0.9493284903028372,,0.0008669075829837194,constant,0.9,8,50.0,2.0,8.0,True,False,True,0.04761582580592904,39.0,True,False,0.48885484693976583,COMPLETE
118,118,229.21701939999997,2024-07-01 17:13:09.527084,2024-07-01 17:28:41.535607,0 days 00:15:32.008523,tanh,5.0,8.592313279689285e-05,1.0,0.981641821576792,,0.0011442469520835455,constant,2.0,8,50.0,1.0,16.0,False,False,True,0.0038203331418377095,27.0,True,False,0.31995436466247584,COMPLETE
119,119,14.1372826,2024-07-01 17:13:58.305272,2024-07-01 17:29:11.097669,0 days 00:15:12.792397,tanh,50.0,4.862254684877018e-05,0.99,0.9901777846493177,,0.003573781998654911,linear,0.9,8,50.0,1.0,8.0,False,True,False,0.009158844357220875,26.0,True,False,0.5294517619249439,COMPLETE
120,120,197.1195942,2024-07-01 17:21:08.826405,2024-07-01 17:37:01.627164,0 days 00:15:52.800759,elu,50.0,0.001293500069617186,1.0,0.9379881281125234,,0.0016824887240521943,constant,0.9,8,50.0,2.0,8.0,True,False,False,0.0157328818111111,30.0,True,False,0.8164199326562349,COMPLETE
121,121,9.1,2024-07-01 17:28:41.594163,2024-07-01 17:44:35.991789,0 days 00:15:54.397626,elu,50.0,4.515589457295162e-05,1.0,0.9530308716451894,,0.00029412832489505904,linear,0.9,6,50.0,2.0,8.0,True,False,True,0.04209505604528743,50.0,True,False,0.7019208240254257,COMPLETE
122,122,12.0,2024-07-01 17:29:11.147453,2024-07-01 17:44:48.155408,0 days 00:15:37.007955,elu,100.0,0.0010187201760410599,1.0,0.9480527004503841,,0.00014823171934810997,constant,0.9,8,50.0,2.0,8.0,True,False,True,0.02889345073043347,42.0,True,False,0.014962287509602212,COMPLETE
123,123,12.824873,2024-07-01 17:37:01.690736,2024-07-01 17:51:25.990784,0 days 00:14:24.300048,elu,50.0,0.00012487588649580023,1.0,0.9706331247900709,,0.0007093961201096967,constant,2.0,8,50.0,1.0,8.0,True,False,True,0.07362116853577014,13.0,True,False,0.3566096962232327,COMPLETE
124,124,11.1,2024-07-01 17:44:36.034142,2024-07-01 18:03:13.228786,0 days 00:18:37.194644,elu,5.0,0.007297690957801397,1.0,0.9952992757879748,,0.0007710661268228358,linear,2.0,8,50.0,1.0,128.0,False,True,True,0.0257744081001175,2.0,True,True,0.4512367361662629,COMPLETE
125,125,272.0595656,2024-07-01 17:44:48.188167,2024-07-01 18:00:07.980605,0 days 00:15:19.792438,elu,50.0,8.28561691414216e-06,1.0,0.9588855183746007,,0.002182241966720518,constant,0.5,8,50.0,2.0,8.0,True,False,True,0.07523377062286044,33.0,True,False,0.46385977937579553,COMPLETE
126,126,6.2,2024-07-01 17:51:26.049031,2024-07-01 18:05:14.999453,0 days 00:13:48.950422,tanh,5.0,0.0003141510007251089,0.98,0.9870340107356488,,0.2026081954384638,constant,0.9,8,50.0,1.0,128.0,False,False,False,0.005868917914221211,22.0,True,False,0.28317210096954154,COMPLETE
127,127,270.9265244,2024-07-01 18:00:08.026557,2024-07-01 18:15:21.056359,0 days 00:15:13.029802,tanh,5.0,0.02475335579454681,1.0,0.9626322237812011,,0.0010352440916564655,constant,5.0,8,50.0,2.0,8.0,False,True,True,0.035788704719274825,10.0,False,False,0.43295674711637455,COMPLETE
128,128,11.2,2024-07-01 18:03:13.285845,2024-07-01 18:20:07.249917,0 days 00:16:53.964072,elu,100.0,4.788943037197337e-06,0.98,0.9820375046881944,,0.0014352112493347853,constant,0.9,6,50.0,1.0,8.0,False,False,True,0.02424697769054828,3.0,True,True,0.20367233690042463,COMPLETE
129,129,12.3,2024-07-01 18:05:15.060863,2024-07-01 18:20:28.358614,0 days 00:15:13.297751,elu,10.0,3.466413611209932e-07,0.8,0.9454903554495169,,0.0045004317681274966,linear,0.9,8,50.0,2.0,8.0,False,True,True,0.03927663687494574,55.0,True,False,0.8128169513224845,COMPLETE
130,130,48.433333,2024-07-01 18:15:21.103582,2024-07-01 18:31:02.387615,0 days 00:15:41.284033,tanh,5.0,0.0005819590460196536,1.0,0.9292907836569412,,0.021127621497611365,constant,5.0,8,50.0,2.0,8.0,False,True,True,0.055801303353521015,27.0,False,False,0.20173521601868075,COMPLETE
131,131,234.6565314,2024-07-01 18:20:07.308890,2024-07-01 18:35:51.677445,0 days 00:15:44.368555,elu,50.0,5.583865463675747e-06,1.0,0.9554066159914428,,0.002640883637896558,constant,0.5,8,50.0,2.0,128.0,False,False,True,0.021269307252605976,65.0,True,False,0.5451683150980676,COMPLETE
132,132,261.27880960000005,2024-07-01 18:20:28.409352,2024-07-01 18:35:56.358569,0 days 00:15:27.949217,tanh,5.0,0.009400671424398408,1.0,0.92232060538318,,0.0006797059553978838,constant,2.0,8,50.0,2.0,8.0,False,True,True,0.018602308256363113,17.0,False,False,0.07271437473943831,COMPLETE
133,133,156.9851812,2024-07-01 18:31:02.446169,2024-07-01 18:46:07.490139,0 days 00:15:05.043970,elu,50.0,8.163764107799092e-07,0.95,0.9675899299009754,,0.0017027232422056596,constant,0.5,8,20.0,2.0,8.0,True,False,True,0.0520796794937498,36.0,True,False,0.415794194181379,COMPLETE
134,134,7.7422922,2024-07-01 18:35:51.724060,2024-07-01 18:57:47.429783,0 days 00:21:55.705723,elu,50.0,3.6330815361417556e-06,1.0,0.9737940377956992,,0.07667950268334582,constant,0.5,8,5.0,2.0,512.0,True,False,True,0.0799651687077129,23.0,True,False,0.5809570783308483,COMPLETE
135,135,167.9532788,2024-07-01 18:35:56.389530,2024-07-01 18:49:35.281336,0 days 00:13:38.891806,elu,100.0,2.9730645751698236e-06,0.8,0.9898676356830092,,0.0007216921285293455,constant,0.9,8,50.0,1.0,256.0,False,False,True,0.02460272756964147,53.0,False,False,0.5903709862433659,COMPLETE
136,136,253.31910120000003,2024-07-01 18:46:07.533567,2024-07-01 18:59:32.777524,0 days 00:13:25.243957,elu,50.0,5.104431172256205e-07,1.0,0.9460881450128908,,0.007766561144758173,constant,0.7,8,50.0,2.0,8.0,True,False,True,0.08359209110982985,61.0,True,False,0.6403830931192344,COMPLETE
137,137,109.90475799999999,2024-07-01 18:49:35.332886,2024-07-01 19:06:36.023877,0 days 00:17:00.690991,tanh,10.0,0.0001180175001468704,0.98,0.9696542082987138,,0.022055576204440687,linear,0.5,6,20.0,1.0,256.0,False,True,False,0.00010349909388368005,81.0,True,True,0.5212491389557953,COMPLETE
138,138,68.0996036,2024-07-01 18:57:47.476368,2024-07-01 19:13:16.127849,0 days 00:15:28.651481,tanh,5.0,0.007396880102521186,0.8,0.9834633631194171,,0.000517657064266316,constant,5.0,8,50.0,2.0,8.0,False,True,False,0.0950276567931353,1.0,False,False,0.4328467326974881,COMPLETE
139,139,281.43460560000005,2024-07-01 18:59:32.837092,2024-07-01 19:14:19.166079,0 days 00:14:46.328987,tanh,5.0,0.09755134094589808,1.0,0.991941284388893,,0.002229229888868791,constant,5.0,8,50.0,1.0,128.0,False,True,True,0.0636323470286476,7.0,True,False,0.02737952155555798,COMPLETE
140,140,12.0,2024-07-01 19:06:36.079317,2024-07-01 19:21:23.289675,0 days 00:14:47.210358,tanh,5.0,0.053293550824256124,1.0,0.967777970413118,,9.620174933932991e-05,constant,5.0,8,50.0,1.0,8.0,False,True,True,0.09355765054617594,13.0,False,False,0.5853014278762525,COMPLETE
141,141,148.6313314,2024-07-01 19:13:16.177738,2024-07-01 19:28:34.330842,0 days 00:15:18.153104,elu,100.0,0.0002602329474621175,0.8,0.9381509726639644,,0.005686263444741416,constant,0.9,8,50.0,2.0,8.0,False,False,True,0.04598147511640735,16.0,True,False,0.6078347110062998,COMPLETE
142,142,189.2393502,2024-07-01 19:14:19.221388,2024-07-01 19:29:46.787122,0 days 00:15:27.565734,relu,50.0,0.0025151324305012724,0.9,0.9565950844400056,,0.004582548805280445,constant,0.5,8,50.0,2.0,8.0,True,False,True,0.034592715155189656,54.0,True,False,0.41686087179274783,COMPLETE
143,143,266.94066899999996,2024-07-01 19:21:23.347152,2024-07-01 19:38:35.318630,0 days 00:17:11.971478,elu,100.0,7.874108646958722e-05,0.98,0.9888217227979407,,0.00013885834666918192,constant,0.7,8,50.0,3.0,64.0,False,False,True,0.0035448327297172436,35.0,True,False,0.32621081715625433,COMPLETE
144,144,265.96738400000004,2024-07-01 19:28:34.382931,2024-07-01 19:42:52.529460,0 days 00:14:18.146529,tanh,10.0,0.005193186316477899,1.0,0.9808655096643888,,0.002505859261829322,constant,5.0,8,50.0,1.0,128.0,False,True,True,0.05767254371483825,2.0,True,False,0.04560677475154569,COMPLETE
145,145,5.7,2024-07-01 19:29:46.841971,2024-07-01 19:44:53.719834,0 days 00:15:06.877863,tanh,5.0,0.004228486126978758,1.0,0.9939758564062805,,0.2590022294660376,constant,5.0,6,20.0,1.0,32.0,False,True,True,0.0481701562905699,25.0,True,False,0.2208329491631179,COMPLETE
146,146,222.8160754,2024-07-01 19:38:35.367991,2024-07-01 19:55:12.654444,0 days 00:16:37.286453,elu,100.0,0.0031578133464774246,0.98,0.9974243169495166,,0.0030782910177708446,linear,5.0,8,50.0,3.0,8.0,False,False,True,0.03868977934280843,5.0,False,False,0.34410829522379094,COMPLETE
147,147,237.6505118,2024-07-01 19:42:52.583062,2024-07-01 19:58:06.523370,0 days 00:15:13.940308,elu,5.0,0.05238276603943613,1.0,0.9811175036005395,,0.045172254963820324,constant,0.9,8,50.0,1.0,128.0,False,True,True,0.04871465889378279,17.0,True,False,0.2521795147604219,COMPLETE
148,148,5.1,2024-07-01 19:44:53.782721,2024-07-01 20:01:32.201781,0 days 00:16:38.419060,tanh,5.0,0.012719369804074511,1.0,0.9943481242875005,,0.012073610693975353,constant,2.0,8,50.0,2.0,128.0,False,True,True,0.08473098452895546,24.0,False,False,0.37803669986173916,COMPLETE
149,149,7.2,2024-07-01 19:55:12.720035,2024-07-01 20:09:11.323802,0 days 00:13:58.603767,relu,5.0,4.322485123507353e-05,0.98,0.9914074942149648,,0.19452782145475858,linear,0.9,8,100.0,1.0,256.0,False,False,True,0.039610882151629404,11.0,True,False,0.30839299250958613,COMPLETE
150,150,132.048604,2024-07-01 19:58:06.575389,2024-07-01 20:15:31.043473,0 days 00:17:24.468084,tanh,10.0,0.09906596003451777,0.95,0.9315450438141808,,0.01930630211799577,linear,1.0,6,20.0,1.0,64.0,False,False,False,0.0008063532797322189,80.0,True,True,0.02674818030894427,COMPLETE
151,151,11.2,2024-07-01 20:01:32.255228,2024-07-01 20:20:28.794947,0 days 00:18:56.539719,elu,10.0,1.7896294116068925e-05,0.8,0.9594835493491657,,0.018227880658460833,constant,0.9,8,10.0,3.0,8.0,True,False,True,0.04398212020472136,64.0,True,False,0.5866410314086952,COMPLETE
152,152,250.74348840000002,2024-07-01 20:09:11.380831,2024-07-01 20:24:15.141060,0 days 00:15:03.760229,elu,50.0,3.1488399171257608e-06,0.92,0.9533005570735752,,0.0009480045790464021,linear,0.5,8,50.0,2.0,8.0,True,True,True,0.06647401814407136,16.0,True,False,0.37255595883834947,COMPLETE
153,153,177.7002696,2024-07-01 20:15:31.091252,2024-07-01 20:31:06.780205,0 days 00:15:35.688953,relu,50.0,3.136851126173757e-05,0.98,0.9960670400977923,,0.001962966183458212,constant,0.9,8,50.0,2.0,256.0,False,False,True,0.002885607630342133,48.0,True,False,0.41491918055710225,COMPLETE
154,154,273.2592714,2024-07-01 20:20:28.861987,2024-07-01 20:35:56.720341,0 days 00:15:27.858354,relu,100.0,0.003338326504119435,0.98,0.9988645534241783,,0.016047840626141705,constant,2.0,8,50.0,2.0,256.0,False,False,True,0.011455933696347486,58.0,True,False,0.34337832729689266,COMPLETE
155,155,49.2677484,2024-07-01 20:24:15.193329,2024-07-01 20:42:57.542739,0 days 00:18:42.349410,relu,100.0,0.00025314692392127374,0.98,0.9905641639435043,,0.0021871269836922277,constant,0.9,8,10.0,2.0,128.0,True,False,True,0.0466336451364006,4.0,False,False,0.34598761562862124,COMPLETE
156,156,259.24954979999995,2024-07-01 20:31:06.839288,2024-07-01 20:44:50.770109,0 days 00:13:43.930821,tanh,10.0,0.00014231309841958377,0.98,0.9925913991341987,,0.12048682515405969,constant,0.5,8,200.0,1.0,128.0,False,True,False,0.007831942346489302,2.0,True,False,0.4567679991583496,COMPLETE
157,157,53.48671499999999,2024-07-01 20:35:56.781053,2024-07-01 20:51:42.257863,0 days 00:15:45.476810,relu,100.0,0.0025107559756591662,0.98,0.9702673209375202,,0.1356442090701641,constant,2.0,6,50.0,2.0,256.0,False,False,True,0.007002957189382385,45.0,True,False,0.2305208552719781,COMPLETE
158,158,6.1,2024-07-01 20:42:57.596905,2024-07-01 21:00:23.439441,0 days 00:17:25.842536,relu,100.0,0.0034658385442739026,0.9,0.9909272956945919,,0.024319911654195267,constant,2.0,8,50.0,3.0,256.0,False,False,True,0.0033033055096950213,18.0,True,False,0.4919374149029415,COMPLETE
159,159,52.667879400000004,2024-07-01 20:44:50.821526,2024-07-01 21:00:54.736957,0 days 00:16:03.915431,relu,100.0,0.0036654027278395784,0.98,0.9906738833865214,,0.00809957780319931,constant,2.0,8,50.0,2.0,256.0,False,False,True,0.0024165437123407464,61.0,True,False,0.21387844025819078,COMPLETE
160,160,8.9032,2024-07-01 20:51:42.317249,2024-07-01 21:05:42.694681,0 days 00:14:00.377432,leaky_relu,10.0,0.0006870425346012882,1.0,0.9927184344210147,,0.0551868241766801,linear,2.0,8,100.0,1.0,512.0,False,False,False,0.0033631596418398917,42.0,True,False,0.41922804297713656,COMPLETE
161,161,10.110992,2024-07-01 21:00:23.491215,2024-07-01 21:15:23.061334,0 days 00:14:59.570119,elu,100.0,0.00038248074600909807,0.8,0.9751042343969205,,0.0005323199068998689,linear,0.9,8,50.0,2.0,8.0,False,False,True,0.058866540503271766,68.0,True,True,0.6921808695515153,COMPLETE
162,162,7.6,2024-07-01 21:00:54.796208,2024-07-01 21:23:29.750804,0 days 00:22:34.954596,relu,100.0,2.1324005153468683e-05,0.98,0.9721955370000804,,0.015971542654400286,constant,0.9,8,5.0,2.0,256.0,False,False,True,0.006586832247132123,13.0,False,False,0.16774116184228827,COMPLETE
163,163,272.26876359999994,2024-07-01 21:05:42.754493,2024-07-01 21:21:43.030925,0 days 00:16:00.276432,tanh,50.0,0.00868330039978591,0.9,0.942589567659223,,0.005981738416991147,linear,0.5,8,20.0,1.0,256.0,False,False,False,0.0010775509787958137,80.0,True,True,0.5112943169024076,COMPLETE
