,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_clip_obs,params_ent_coef,params_gae_lambda,params_gamma,params_initialization_strategy,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_max_ingredients,params_n_steps,params_net_arch_depth,params_net_arch_width,params_norm_reward,params_normalize_advantage,params_ortho_init,params_rms_prop_eps,params_sde_sample_freq,params_use_rms_prop,params_use_sde,params_vf_coef,state
19,19,6.0473732,2024-07-01 08:28:04.970186,2024-07-01 08:42:26.277275,0 days 00:14:21.307089,leaky_relu,10.0,0.0028102032901173597,0.95,0.9949153887190758,,0.3683802846075209,constant,2.0,8,100.0,2.0,8.0,False,True,False,0.005079793677310486,36.0,True,False,0.5226999922195465,COMPLETE
20,20,250.61015740000002,2024-07-01 08:35:54.264375,2024-07-01 08:52:11.093692,0 days 00:16:16.829317,leaky_relu,5.0,8.21962621835629e-06,0.8,0.9026898633551466,,4.174581273559385e-05,linear,2.0,6,20.0,1.0,32.0,True,False,False,0.0012127659149340708,99.0,True,True,0.6362254594954213,COMPLETE
21,21,6.7,2024-07-01 08:37:03.048595,2024-07-01 08:55:23.963416,0 days 00:18:20.914821,leaky_relu,10.0,0.0033964861641326127,0.9,0.967683489391481,,0.2431343328534422,linear,0.5,8,10.0,2.0,512.0,False,True,False,0.015086480510295519,52.0,True,False,0.08035358593674136,COMPLETE
22,22,280.284579,2024-07-01 08:42:26.316313,2024-07-01 08:55:56.262512,0 days 00:13:29.946199,tanh,5.0,0.0007736272682085365,0.98,0.9996036103348427,,0.033693177423174916,constant,0.9,8,50.0,1.0,128.0,False,True,False,0.011965576321145237,7.0,True,False,0.3979308458478025,COMPLETE
23,23,10.1,2024-07-01 08:52:11.147266,2024-07-01 09:08:19.476049,0 days 00:16:08.328783,leaky_relu,5.0,1.4733311550864392e-08,0.8,0.9238302175427591,,2.4680084325540126e-05,linear,0.7,6,20.0,1.0,8.0,True,True,True,0.0013893898448560996,79.0,False,True,0.7200559937282897,COMPLETE
24,24,234.14328260000002,2024-07-01 08:55:24.010046,2024-07-01 09:11:37.640589,0 days 00:16:13.630543,elu,50.0,4.803290991366127e-06,0.8,0.9123413978409366,,6.140634666639962e-05,linear,2.0,6,20.0,1.0,512.0,True,False,False,5.142982609021944e-05,95.0,True,True,0.7485842012052235,COMPLETE
25,25,235.16821440000004,2024-07-01 08:55:56.317995,2024-07-01 09:09:58.361869,0 days 00:14:02.043874,tanh,5.0,0.04105760389204412,0.8,0.9996849531408848,,0.016285833620222925,constant,0.9,6,20.0,1.0,128.0,False,True,False,0.04838847422122517,26.0,True,False,0.5007471407843036,COMPLETE
26,26,4.9,2024-07-01 09:08:19.524322,2024-07-01 09:28:20.981730,0 days 00:20:01.457408,tanh,5.0,0.00868341286697043,0.98,0.9682056284937034,,0.02264105023313302,linear,0.3,8,5.0,2.0,128.0,False,True,False,0.0003735638325715319,20.0,True,False,0.23338185596813504,COMPLETE
27,27,265.1168212,2024-07-01 09:09:58.418576,2024-07-01 09:25:17.865221,0 days 00:15:19.446645,leaky_relu,5.0,0.0030870852637125646,0.98,0.9362762328342946,,0.00018834503579370508,linear,2.0,6,20.0,1.0,32.0,True,False,False,0.00017892262901159827,82.0,True,True,0.6373024054060213,COMPLETE
28,28,75.1625396,2024-07-01 09:11:37.695730,2024-07-01 09:24:54.117477,0 days 00:13:16.421747,tanh,5.0,2.2764430019085927e-06,0.92,0.990338741901534,,0.0016793167994468574,constant,0.5,8,50.0,1.0,128.0,False,True,False,0.05268250409221904,1.0,True,False,0.33500626402406414,COMPLETE
29,29,56.410708,2024-07-01 09:24:54.161058,2024-07-01 09:40:12.956493,0 days 00:15:18.795435,leaky_relu,50.0,3.660428200598529e-06,0.8,0.913784684479303,,4.461407581542401e-05,linear,5.0,6,20.0,1.0,32.0,False,False,False,0.007817039112043265,63.0,True,True,0.6409141177998244,COMPLETE
30,30,270.390985,2024-07-01 09:25:17.915152,2024-07-01 09:41:39.500126,0 days 00:16:21.584974,leaky_relu,5.0,0.0012074680039781936,0.98,0.9585169609256008,,0.007292600310901481,linear,2.0,6,20.0,1.0,256.0,True,False,False,0.00034820597441306166,65.0,True,True,0.41825264618358093,COMPLETE
31,31,5.0,2024-07-01 09:28:21.037723,2024-07-01 09:42:47.702709,0 days 00:14:26.664986,tanh,10.0,0.006069498093849696,0.99,0.9742582982168833,,0.004328876837830786,linear,2.0,8,100.0,2.0,512.0,False,False,False,0.003504830462192962,53.0,True,False,0.2610156385109274,COMPLETE
32,32,9.1,2024-07-01 09:40:13.020985,2024-07-01 09:54:46.370252,0 days 00:14:33.349267,tanh,5.0,2.3128943301107767e-05,0.98,0.9827367440229952,,0.06838114422869822,linear,0.9,8,50.0,1.0,128.0,True,True,True,0.005347290570854235,3.0,False,False,0.2730310687914202,COMPLETE
33,33,177.01214019999998,2024-07-01 09:41:39.554646,2024-07-01 09:57:13.904469,0 days 00:15:34.349823,leaky_relu,10.0,0.0499958002234585,0.8,0.9798530052801263,,0.01087376208154711,linear,2.0,6,50.0,2.0,32.0,False,True,False,0.0025713218619201226,52.0,True,False,0.32793880764737104,COMPLETE
34,34,217.0802468,2024-07-01 09:42:47.754939,2024-07-01 09:58:27.033261,0 days 00:15:39.278322,leaky_relu,100.0,0.0022295640853213627,1.0,0.9989320025739286,,0.0023883194051812855,linear,0.7,8,100.0,2.0,512.0,False,True,False,0.003337543392260349,59.0,True,False,0.328264667104018,COMPLETE
