CMDLINE /home/laurie2905/anaconda3/envs/masterEnv/bin/python src/models/envs/env.py
MEM 884.339844 1718115846.1975
MEM 884.339844 1718115846.2979
MEM 884.339844 1718115846.3982
MEM 884.339844 1718115846.4985
MEM 884.339844 1718115846.5989
MEM 884.597656 1718115846.6992
MEM 884.597656 1718115846.7996
MEM 884.597656 1718115846.9000
MEM 884.597656 1718115847.0004
MEM 884.597656 1718115847.1008
MEM 884.855469 1718115847.2012
MEM 884.855469 1718115847.3016
MEM 884.855469 1718115847.4018
MEM 884.855469 1718115847.5022
MEM 884.855469 1718115847.6025
MEM 885.113281 1718115847.7028
MEM 885.113281 1718115847.8031
MEM 885.113281 1718115847.9035
MEM 885.113281 1718115848.0038
MEM 885.113281 1718115848.1042
MEM 885.371094 1718115848.2046
MEM 885.371094 1718115848.3049
MEM 885.371094 1718115848.4053
MEM 885.371094 1718115848.5057
MEM 885.371094 1718115848.6060
MEM 885.371094 1718115848.7064
MEM 885.628906 1718115848.8068
MEM 885.628906 1718115848.9071
MEM 885.628906 1718115849.0075
MEM 885.628906 1718115849.1079
MEM 885.628906 1718115849.2083
MEM 885.886719 1718115849.3087
MEM 885.886719 1718115849.4090
MEM 885.886719 1718115849.5093
MEM 885.886719 1718115849.6097
MEM 885.886719 1718115849.7101
MEM 885.886719 1718115849.8105
MEM 886.144531 1718115849.9108
MEM 886.144531 1718115850.0112
MEM 886.144531 1718115850.1117
MEM 886.144531 1718115850.2120
MEM 886.144531 1718115850.3124
MEM 886.144531 1718115850.4127
MEM 886.402344 1718115850.5131
MEM 886.402344 1718115850.6134
MEM 886.402344 1718115850.7137
MEM 886.402344 1718115850.8141
MEM 886.660156 1718115850.9144
MEM 886.660156 1718115851.0148
MEM 886.660156 1718115851.1151
MEM 886.660156 1718115851.2155
MEM 886.660156 1718115851.3158
MEM 886.917969 1718115851.4162
MEM 886.917969 1718115851.5165
MEM 886.917969 1718115851.6169
MEM 886.917969 1718115851.7173
MEM 886.917969 1718115851.8175
MEM 887.175781 1718115851.9178
MEM 887.175781 1718115852.0183
MEM 887.175781 1718115852.1186
MEM 887.175781 1718115852.2190
MEM 887.175781 1718115852.3193
MEM 887.433594 1718115852.4197
MEM 887.433594 1718115852.5200
MEM 887.433594 1718115852.6204
MEM 887.433594 1718115852.7207
MEM 887.433594 1718115852.8211
MEM 887.691406 1718115852.9215
MEM 887.691406 1718115853.0218
MEM 887.691406 1718115853.1222
MEM 887.691406 1718115853.2227
MEM 887.691406 1718115853.3230
MEM 887.949219 1718115853.4233
MEM 887.949219 1718115853.5237
MEM 887.949219 1718115853.6241
MEM 887.949219 1718115853.7245
MEM 887.949219 1718115853.8249
MEM 888.207031 1718115853.9252
MEM 888.207031 1718115854.0255
MEM 888.207031 1718115854.1259
MEM 888.207031 1718115854.2263
MEM 888.207031 1718115854.3268
MEM 888.464844 1718115854.4272
MEM 888.464844 1718115854.5277
MEM 888.464844 1718115854.6280
MEM 888.464844 1718115854.7284
MEM 888.464844 1718115854.8287
MEM 888.464844 1718115854.9290
MEM 888.722656 1718115855.0294
MEM 888.722656 1718115855.1297
MEM 888.722656 1718115855.2302
MEM 888.722656 1718115855.3305
MEM 888.722656 1718115855.4308
MEM 888.980469 1718115855.5312
MEM 888.980469 1718115855.6316
MEM 888.980469 1718115855.7319
MEM 888.980469 1718115855.8323
MEM 888.980469 1718115855.9327
MEM 889.238281 1718115856.0331
MEM 889.238281 1718115856.1334
MEM 889.238281 1718115856.2337
MEM 889.238281 1718115856.3341
MEM 889.238281 1718115856.4345
MEM 889.238281 1718115856.5349
MEM 889.496094 1718115856.6352
MEM 889.496094 1718115856.7355
MEM 889.496094 1718115856.8359
MEM 889.496094 1718115856.9363
MEM 889.496094 1718115857.0366
MEM 889.496094 1718115857.1370
MEM 889.753906 1718115857.2376
MEM 889.753906 1718115857.3380
MEM 889.753906 1718115857.4384
MEM 889.753906 1718115857.5388
MEM 889.753906 1718115857.6392
MEM 890.011719 1718115857.7396
MEM 890.011719 1718115857.8399
MEM 890.011719 1718115857.9402
MEM 890.011719 1718115858.0406
MEM 890.011719 1718115858.1409
MEM 890.011719 1718115858.2413
MEM 890.269531 1718115858.3418
MEM 890.269531 1718115858.4422
MEM 890.269531 1718115858.5425
MEM 890.269531 1718115858.6428
MEM 890.527344 1718115858.7432
MEM 890.527344 1718115858.8435
MEM 890.527344 1718115858.9438
MEM 890.527344 1718115859.0441
MEM 890.527344 1718115859.1445
MEM 890.785156 1718115859.2449
MEM 890.785156 1718115859.3452
MEM 890.785156 1718115859.4455
MEM 890.785156 1718115859.5459
MEM 890.785156 1718115859.6462
MEM 891.042969 1718115859.7466
MEM 891.042969 1718115859.8470
MEM 891.042969 1718115859.9474
MEM 891.042969 1718115860.0477
MEM 891.300781 1718115860.1481
MEM 891.300781 1718115860.2485
MEM 891.300781 1718115860.3488
MEM 891.300781 1718115860.4492
MEM 891.300781 1718115860.5495
MEM 891.558594 1718115860.6499
MEM 891.558594 1718115860.7502
MEM 891.558594 1718115860.8506
MEM 891.558594 1718115860.9509
MEM 891.558594 1718115861.0513
MEM 891.558594 1718115861.1516
MEM 891.816406 1718115861.2520
MEM 891.816406 1718115861.3523
MEM 891.816406 1718115861.4526
MEM 891.816406 1718115861.5530
MEM 891.816406 1718115861.6534
MEM 892.074219 1718115861.7538
MEM 892.074219 1718115861.8541
MEM 892.074219 1718115861.9545
MEM 892.074219 1718115862.0549
MEM 892.074219 1718115862.1552
MEM 892.332031 1718115862.2556
MEM 892.332031 1718115862.3559
MEM 892.332031 1718115862.4563
MEM 892.332031 1718115862.5566
MEM 892.589844 1718115862.6570
MEM 892.589844 1718115862.7573
MEM 892.589844 1718115862.8575
MEM 892.589844 1718115862.9579
MEM 892.589844 1718115863.0582
MEM 892.589844 1718115863.1586
MEM 892.847656 1718115863.2589
MEM 892.847656 1718115863.3592
MEM 892.847656 1718115863.4596
MEM 892.847656 1718115863.5600
MEM 892.847656 1718115863.6604
MEM 892.847656 1718115863.7608
MEM 893.105469 1718115863.8611
MEM 893.105469 1718115863.9615
MEM 893.105469 1718115864.0618
MEM 893.105469 1718115864.1622
MEM 893.105469 1718115864.2626
MEM 893.363281 1718115864.3630
MEM 893.363281 1718115864.4634
MEM 893.363281 1718115864.5638
MEM 893.363281 1718115864.6642
MEM 893.363281 1718115864.7646
MEM 893.363281 1718115864.8649
MEM 893.621094 1718115864.9653
MEM 893.621094 1718115865.0657
MEM 893.621094 1718115865.1660
MEM 893.621094 1718115865.2663
MEM 893.878906 1718115865.3666
MEM 893.878906 1718115865.4671
MEM 893.878906 1718115865.5675
MEM 893.878906 1718115865.6679
MEM 893.878906 1718115865.7683
MEM 893.878906 1718115865.8686
MEM 894.136719 1718115865.9690
MEM 894.136719 1718115866.0694
MEM 894.136719 1718115866.1697
MEM 894.136719 1718115866.2700
MEM 894.136719 1718115866.3704
MEM 894.394531 1718115866.4709
MEM 894.394531 1718115866.5713
MEM 894.394531 1718115866.6716
MEM 894.394531 1718115866.7719
MEM 894.394531 1718115866.8723
MEM 894.394531 1718115866.9727
MEM 894.652344 1718115867.0730
MEM 894.652344 1718115867.1733
MEM 894.652344 1718115867.2737
MEM 894.652344 1718115867.3741
MEM 894.652344 1718115867.4745
MEM 894.910156 1718115867.5748
MEM 894.910156 1718115867.6752
MEM 894.910156 1718115867.7756
MEM 894.910156 1718115867.8759
MEM 894.910156 1718115867.9762
MEM 895.167969 1718115868.0766
MEM 895.167969 1718115868.1769
MEM 895.167969 1718115868.2773
MEM 895.167969 1718115868.3777
MEM 895.167969 1718115868.4781
MEM 895.167969 1718115868.5786
MEM 895.167969 1718115868.6790
MEM 895.425781 1718115868.7795
MEM 895.425781 1718115868.8799
MEM 895.425781 1718115868.9804
MEM 895.425781 1718115869.0809
MEM 895.425781 1718115869.1813
MEM 895.425781 1718115869.2817
MEM 895.425781 1718115869.3820
MEM 895.425781 1718115869.4824
MEM 895.683594 1718115869.5827
MEM 895.683594 1718115869.6831
MEM 895.683594 1718115869.7834
MEM 895.683594 1718115869.8838
MEM 895.683594 1718115869.9841
MEM 895.683594 1718115870.0845
MEM 895.941406 1718115870.1848
MEM 895.941406 1718115870.2852
MEM 895.941406 1718115870.3856
MEM 895.941406 1718115870.4860
MEM 895.941406 1718115870.5863
MEM 896.199219 1718115870.6867
MEM 896.199219 1718115870.7870
MEM 896.199219 1718115870.8874
MEM 896.199219 1718115870.9878
MEM 896.199219 1718115871.0882
MEM 896.457031 1718115871.1885
MEM 896.457031 1718115871.2889
MEM 896.457031 1718115871.3892
MEM 896.457031 1718115871.4896
MEM 896.457031 1718115871.5900
MEM 896.714844 1718115871.6903
MEM 896.714844 1718115871.7907
MEM 896.714844 1718115871.8910
MEM 896.714844 1718115871.9914
MEM 896.714844 1718115872.0917
MEM 896.714844 1718115872.1921
MEM 896.972656 1718115872.2924
MEM 896.972656 1718115872.3928
MEM 896.972656 1718115872.4931
MEM 896.972656 1718115872.5934
MEM 896.972656 1718115872.6938
MEM 897.230469 1718115872.7942
MEM 897.230469 1718115872.8945
MEM 897.230469 1718115872.9949
MEM 897.230469 1718115873.0953
MEM 897.230469 1718115873.1957
MEM 897.230469 1718115873.2960
MEM 897.488281 1718115873.3964
MEM 897.488281 1718115873.4968
MEM 897.488281 1718115873.5971
MEM 897.488281 1718115873.6976
MEM 897.488281 1718115873.7979
MEM 897.746094 1718115873.8983
MEM 897.746094 1718115873.9987
MEM 897.746094 1718115874.0991
MEM 897.746094 1718115874.1994
MEM 897.746094 1718115874.2997
MEM 897.746094 1718115874.4000
MEM 898.003906 1718115874.5004
MEM 898.003906 1718115874.6008
MEM 898.003906 1718115874.7011
MEM 898.003906 1718115874.8015
MEM 898.003906 1718115874.9018
MEM 898.261719 1718115875.0022
MEM 898.261719 1718115875.1027
MEM 898.261719 1718115875.2030
MEM 898.261719 1718115875.3033
MEM 898.261719 1718115875.4037
MEM 898.519531 1718115875.5040
MEM 898.519531 1718115875.6044
MEM 898.519531 1718115875.7048
MEM 898.519531 1718115875.8052
MEM 898.519531 1718115875.9056
MEM 898.777344 1718115876.0060
MEM 898.777344 1718115876.1063
MEM 898.777344 1718115876.2067
MEM 898.777344 1718115876.3071
MEM 899.035156 1718115876.4075
MEM 899.035156 1718115876.5078
MEM 899.035156 1718115876.6081
MEM 899.035156 1718115876.7084
MEM 899.035156 1718115876.8088
MEM 899.292969 1718115876.9091
MEM 899.292969 1718115877.0094
MEM 899.292969 1718115877.1098
MEM 899.292969 1718115877.2101
MEM 899.292969 1718115877.3105
MEM 899.550781 1718115877.4109
MEM 899.550781 1718115877.5113
MEM 899.550781 1718115877.6116
MEM 899.550781 1718115877.7120
MEM 899.550781 1718115877.8123
MEM 899.808594 1718115877.9127
MEM 899.808594 1718115878.0131
MEM 899.808594 1718115878.1135
MEM 899.808594 1718115878.2138
MEM 899.808594 1718115878.3142
MEM 900.066406 1718115878.4145
MEM 900.066406 1718115878.5149
MEM 900.066406 1718115878.6153
MEM 900.066406 1718115878.7156
MEM 900.066406 1718115878.8160
MEM 900.324219 1718115878.9164
MEM 900.324219 1718115879.0168
MEM 900.324219 1718115879.1171
MEM 900.324219 1718115879.2174
MEM 900.324219 1718115879.3178
MEM 900.582031 1718115879.4181
MEM 900.582031 1718115879.5185
MEM 900.582031 1718115879.6190
MEM 900.582031 1718115879.7192
MEM 900.582031 1718115879.8196
MEM 900.839844 1718115879.9200
MEM 900.839844 1718115880.0203
MEM 900.839844 1718115880.1206
MEM 900.839844 1718115880.2210
MEM 900.839844 1718115880.3214
MEM 901.097656 1718115880.4217
MEM 901.097656 1718115880.5221
MEM 901.097656 1718115880.6225
MEM 901.097656 1718115880.7228
MEM 901.355469 1718115880.8232
MEM 901.355469 1718115880.9236
MEM 901.355469 1718115881.0239
MEM 901.355469 1718115881.1243
MEM 901.355469 1718115881.2246
MEM 901.613281 1718115881.3249
MEM 901.613281 1718115881.4253
MEM 901.613281 1718115881.5257
MEM 901.613281 1718115881.6260
MEM 901.871094 1718115881.7264
MEM 901.871094 1718115881.8267
MEM 901.871094 1718115881.9271
MEM 901.871094 1718115882.0274
MEM 901.871094 1718115882.1278
MEM 901.871094 1718115882.2281
MEM 902.128906 1718115882.3284
MEM 902.128906 1718115882.4288
MEM 902.128906 1718115882.5291
MEM 902.128906 1718115882.6295
MEM 902.128906 1718115882.7299
MEM 902.386719 1718115882.8302
MEM 902.386719 1718115882.9306
MEM 902.386719 1718115883.0309
MEM 902.386719 1718115883.1313
MEM 902.644531 1718115883.2317
MEM 902.644531 1718115883.3320
MEM 902.644531 1718115883.4324
MEM 902.902344 1718115883.5327
MEM 902.902344 1718115883.6330
MEM 902.902344 1718115883.7334
MEM 902.902344 1718115883.8338
MEM 902.902344 1718115883.9342
MEM 902.902344 1718115884.0346
MEM 903.160156 1718115884.1350
MEM 903.160156 1718115884.2353
MEM 903.160156 1718115884.3357
MEM 903.160156 1718115884.4360
MEM 903.160156 1718115884.5363
MEM 903.160156 1718115884.6367
MEM 903.417969 1718115884.7371
MEM 903.417969 1718115884.8375
MEM 903.417969 1718115884.9379
MEM 903.417969 1718115885.0382
MEM 903.675781 1718115885.1386
MEM 903.675781 1718115885.2389
MEM 903.675781 1718115885.3393
MEM 903.675781 1718115885.4396
MEM 903.675781 1718115885.5400
MEM 903.933594 1718115885.6403
MEM 903.933594 1718115885.7407
MEM 903.933594 1718115885.8411
MEM 903.933594 1718115885.9414
MEM 903.933594 1718115886.0418
MEM 903.933594 1718115886.1421
MEM 904.191406 1718115886.2425
MEM 904.191406 1718115886.3429
MEM 904.191406 1718115886.4433
MEM 904.191406 1718115886.5436
MEM 904.191406 1718115886.6440
MEM 904.449219 1718115886.7443
MEM 904.449219 1718115886.8447
MEM 904.449219 1718115886.9451
MEM 904.449219 1718115887.0455
MEM 904.449219 1718115887.1458
MEM 904.707031 1718115887.2463
MEM 904.707031 1718115887.3467
MEM 904.707031 1718115887.4470
MEM 904.707031 1718115887.5474
MEM 904.964844 1718115887.6478
MEM 904.964844 1718115887.7482
MEM 904.964844 1718115887.8485
MEM 904.964844 1718115887.9488
MEM 904.964844 1718115888.0491
MEM 905.222656 1718115888.1495
MEM 905.222656 1718115888.2498
MEM 905.222656 1718115888.3502
MEM 905.222656 1718115888.4506
MEM 905.222656 1718115888.5510
MEM 905.480469 1718115888.6514
MEM 905.480469 1718115888.7519
MEM 905.480469 1718115888.8522
MEM 905.480469 1718115888.9525
MEM 905.480469 1718115889.0530
MEM 905.738281 1718115889.1534
MEM 905.738281 1718115889.2537
MEM 905.738281 1718115889.3540
MEM 905.738281 1718115889.4544
MEM 905.996094 1718115889.5549
MEM 905.996094 1718115889.6552
MEM 905.996094 1718115889.7556
MEM 906.253906 1718115889.8560
MEM 906.253906 1718115889.9563
MEM 906.253906 1718115890.0566
MEM 906.253906 1718115890.1570
MEM 906.253906 1718115890.2574
MEM 906.253906 1718115890.3577
MEM 906.511719 1718115890.4581
MEM 906.511719 1718115890.5584
MEM 906.511719 1718115890.6589
MEM 906.511719 1718115890.7593
MEM 906.511719 1718115890.8596
MEM 906.769531 1718115890.9599
MEM 906.769531 1718115891.0603
MEM 906.769531 1718115891.1607
MEM 906.769531 1718115891.2611
MEM 907.027344 1718115891.3614
MEM 907.027344 1718115891.4617
MEM 907.027344 1718115891.5621
MEM 907.027344 1718115891.6625
MEM 907.027344 1718115891.7628
MEM 907.285156 1718115891.8632
MEM 907.285156 1718115891.9635
MEM 907.285156 1718115892.0639
MEM 907.285156 1718115892.1642
MEM 907.285156 1718115892.2646
MEM 907.542969 1718115892.3649
MEM 907.542969 1718115892.4653
MEM 907.542969 1718115892.5656
MEM 907.542969 1718115892.6661
MEM 907.542969 1718115892.7664
MEM 907.800781 1718115892.8668
MEM 907.800781 1718115892.9671
MEM 907.800781 1718115893.0675
MEM 907.800781 1718115893.1678
MEM 908.058594 1718115893.2682
MEM 908.058594 1718115893.3686
MEM 908.058594 1718115893.4689
MEM 908.058594 1718115893.5692
MEM 908.058594 1718115893.6696
MEM 908.316406 1718115893.7700
MEM 908.316406 1718115893.8703
MEM 908.316406 1718115893.9706
MEM 908.316406 1718115894.0710
MEM 908.316406 1718115894.1714
MEM 908.574219 1718115894.2718
MEM 908.574219 1718115894.3722
MEM 908.574219 1718115894.4726
MEM 908.574219 1718115894.5729
MEM 908.574219 1718115894.6733
MEM 908.574219 1718115894.7737
MEM 908.832031 1718115894.8741
MEM 908.832031 1718115894.9744
MEM 908.832031 1718115895.0748
MEM 908.832031 1718115895.1751
MEM 908.832031 1718115895.2755
MEM 909.089844 1718115895.3759
MEM 909.089844 1718115895.4762
MEM 909.089844 1718115895.5766
MEM 909.089844 1718115895.6769
MEM 909.089844 1718115895.7774
MEM 909.347656 1718115895.8777
MEM 909.347656 1718115895.9782
MEM 909.347656 1718115896.0785
MEM 909.347656 1718115896.1789
MEM 909.605469 1718115896.2792
MEM 909.605469 1718115896.3795
MEM 909.605469 1718115896.4799
MEM 909.605469 1718115896.5802
MEM 909.605469 1718115896.6806
MEM 909.863281 1718115896.7809
MEM 909.863281 1718115896.8812
MEM 909.863281 1718115896.9816
MEM 909.863281 1718115897.0820
MEM 909.863281 1718115897.1824
MEM 910.121094 1718115897.2827
MEM 910.121094 1718115897.3831
MEM 910.121094 1718115897.4834
MEM 910.121094 1718115897.5838
MEM 910.378906 1718115897.6841
MEM 910.378906 1718115897.7845
MEM 910.378906 1718115897.8849
MEM 910.378906 1718115897.9853
MEM 910.378906 1718115898.0857
MEM 910.636719 1718115898.1860
MEM 910.636719 1718115898.2864
MEM 910.636719 1718115898.3867
MEM 910.636719 1718115898.4871
MEM 910.636719 1718115898.5876
MEM 910.894531 1718115898.6879
MEM 910.894531 1718115898.7883
MEM 910.894531 1718115898.8886
MEM 910.894531 1718115898.9890
MEM 910.894531 1718115899.0893
MEM 911.152344 1718115899.1896
MEM 911.152344 1718115899.2901
MEM 911.152344 1718115899.3904
MEM 911.152344 1718115899.4908
MEM 911.152344 1718115899.5911
MEM 911.410156 1718115899.6915
MEM 911.410156 1718115899.7918
MEM 911.410156 1718115899.8922
MEM 911.410156 1718115899.9926
MEM 911.410156 1718115900.0930
MEM 911.667969 1718115900.1933
MEM 911.667969 1718115900.2936
MEM 911.667969 1718115900.3940
MEM 911.667969 1718115900.4943
MEM 911.925781 1718115900.5947
MEM 911.925781 1718115900.6951
MEM 911.925781 1718115900.7954
MEM 911.925781 1718115900.8958
MEM 911.925781 1718115900.9961
MEM 912.183594 1718115901.0965
MEM 912.183594 1718115901.1968
MEM 912.183594 1718115901.2972
MEM 912.183594 1718115901.3976
MEM 912.183594 1718115901.4979
MEM 912.441406 1718115901.5983
MEM 912.441406 1718115901.6987
MEM 912.441406 1718115901.7990
MEM 912.441406 1718115901.8994
MEM 912.441406 1718115901.9998
MEM 912.699219 1718115902.1001
MEM 912.699219 1718115902.2005
MEM 912.699219 1718115902.3008
MEM 912.699219 1718115902.4012
MEM 912.957031 1718115902.5015
MEM 912.957031 1718115902.6020
MEM 912.957031 1718115902.7023
MEM 912.957031 1718115902.8027
MEM 912.957031 1718115902.9030
MEM 913.214844 1718115903.0033
MEM 913.214844 1718115903.1037
MEM 913.214844 1718115903.2041
MEM 913.214844 1718115903.3044
MEM 913.214844 1718115903.4048
MEM 913.472656 1718115903.5051
MEM 913.472656 1718115903.6055
MEM 913.472656 1718115903.7059
MEM 913.472656 1718115903.8063
MEM 913.472656 1718115903.9067
MEM 913.472656 1718115904.0070
MEM 913.730469 1718115904.1074
MEM 913.730469 1718115904.2078
MEM 913.730469 1718115904.3081
MEM 913.730469 1718115904.4086
MEM 913.730469 1718115904.5089
MEM 913.988281 1718115904.6092
MEM 913.988281 1718115904.7096
MEM 913.988281 1718115904.8100
MEM 913.988281 1718115904.9103
MEM 913.988281 1718115905.0108
MEM 914.246094 1718115905.1111
MEM 914.246094 1718115905.2115
MEM 914.246094 1718115905.3118
MEM 914.246094 1718115905.4123
MEM 914.503906 1718115905.5126
MEM 914.503906 1718115905.6129
MEM 914.503906 1718115905.7133
MEM 914.503906 1718115905.8137
MEM 914.503906 1718115905.9140
MEM 914.761719 1718115906.0144
MEM 914.761719 1718115906.1148
MEM 914.761719 1718115906.2152
MEM 914.761719 1718115906.3155
MEM 914.761719 1718115906.4159
MEM 915.019531 1718115906.5162
MEM 915.019531 1718115906.6166
MEM 915.019531 1718115906.7169
MEM 915.019531 1718115906.8173
MEM 915.019531 1718115906.9176
MEM 915.277344 1718115907.0179
MEM 915.277344 1718115907.1182
MEM 915.277344 1718115907.2188
MEM 915.277344 1718115907.3192
MEM 915.277344 1718115907.4195
MEM 915.535156 1718115907.5199
MEM 915.535156 1718115907.6203
MEM 915.535156 1718115907.7206
MEM 915.535156 1718115907.8210
MEM 915.792969 1718115907.9213
MEM 915.792969 1718115908.0216
MEM 915.792969 1718115908.1219
MEM 915.792969 1718115908.2223
MEM 915.792969 1718115908.3226
MEM 916.050781 1718115908.4229
MEM 916.050781 1718115908.5233
MEM 916.050781 1718115908.6237
MEM 916.050781 1718115908.7241
MEM 916.050781 1718115908.8244
MEM 916.308594 1718115908.9247
MEM 916.308594 1718115909.0251
MEM 916.308594 1718115909.1255
MEM 916.308594 1718115909.2258
MEM 916.308594 1718115909.3261
