CMDLINE /home/laurie2905/anaconda3/envs/masterEnv/bin/python src/models/envs/env.py
MEM 0.500000 1718115786.7579
MEM 27.148438 1718115786.8584
MEM 42.425781 1718115786.9587
MEM 66.863281 1718115787.0590
MEM 95.234375 1718115787.1594
MEM 96.265625 1718115787.2599
MEM 152.808594 1718115787.3602
MEM 167.718750 1718115787.4606
MEM 331.296875 1718115787.5610
MEM 361.609375 1718115787.6615
MEM 412.691406 1718115787.7619
MEM 442.906250 1718115787.8623
MEM 452.207031 1718115787.9628
MEM 461.289062 1718115788.0632
MEM 467.218750 1718115788.1636
MEM 477.167969 1718115788.2640
MEM 482.468750 1718115788.3644
MEM 569.351562 1718115788.4649
MEM 711.945312 1718115788.5653
MEM 723.570312 1718115788.6656
MEM 733.281250 1718115788.7660
MEM 740.609375 1718115788.8664
MEM 750.039062 1718115788.9667
MEM 764.808594 1718115789.0671
MEM 773.335938 1718115789.1675
MEM 787.886719 1718115789.2679
MEM 817.832031 1718115789.3691
MEM 831.710938 1718115789.4694
MEM 842.429688 1718115789.5698
MEM 849.953125 1718115789.6702
MEM 855.882812 1718115789.7706
MEM 869.156250 1718115789.8710
MEM 875.500000 1718115789.9713
MEM 877.210938 1718115790.0718
MEM 877.449219 1718115790.1722
MEM 877.957031 1718115790.2726
MEM 881.273438 1718115790.3730
MEM 882.046875 1718115790.4734
MEM 882.046875 1718115790.5738
MEM 882.562500 1718115790.6743
MEM 882.562500 1718115790.7747
MEM 882.562500 1718115790.8751
MEM 882.562500 1718115790.9755
MEM 889.289062 1718115791.0760
